datetime,ghi,cams,lsasaf,pred_XGB_cams,pred_XGB_lsasaf
2018-08-29 14:30:00,747.8816666666667,757.0736,767.9,719.0414768176195,706.5904464440462
2018-08-29 14:45:00,781.681,784.4012,796.5,746.9249714175901,734.4739410440168
2018-08-29 15:00:00,802.84,807.2,818.8,772.2015928517875,758.1871086250839
2018-08-29 15:15:00,825.2900000000001,825.3416,839.10004,782.4629777921839,777.5939449323816
2018-08-29 15:30:00,837.2253333333333,839.0356,855.10004,789.3418210281255,792.584489179981
2018-08-29 15:45:00,850.1333333333333,845.6196,866.5,798.7030877643657,803.0745725208354
2018-08-29 16:00:00,857.0773333333333,846.468,873.5,808.7150043492203,813.0409225468521
2018-08-29 16:15:00,862.0653333333333,852.4552,875.8,805.9733455099429,825.3814136900271
2018-08-29 16:30:00,865.2396666666666,848.0708,873.7,806.793951820707,822.121202778196
2018-08-29 16:45:00,856.672,838.7908,867.0,798.9524642782529,814.279715235742
2018-08-29 17:00:00,844.2166666666667,824.9364,855.8,786.5733329752302,801.9005839327192
2018-08-29 17:15:00,828.2196666666666,806.5712,839.7,760.8558984658305,785.0530348679606
2018-08-29 17:30:00,806.6063333333333,783.7812,819.3,739.6348545500938,770.9793579528038
2018-08-29 17:45:00,780.3716666666666,756.6768,794.5,716.7236562929525,750.1306148729695
2018-08-29 18:00:00,746.6383333333334,724.9448,764.5,687.1442285123642,715.9261956754501
2018-08-29 18:15:00,706.935,688.7744,731.7,653.6328068704717,687.0397654504887
2018-08-29 18:30:00,672.7563333333333,648.8204,695.2,616.3906047041185,649.7975632841355
2018-08-29 18:45:00,626.6446666666667,605.45,654.8,575.6476230661622,609.0545816461793
2018-08-29 19:00:00,590.203,558.936,611.2,531.6646323281776,565.0715909081947
2018-08-29 19:15:00,544.362,509.4668,564.3,484.73625078634683,518.1432093663639
2018-08-29 19:30:00,497.653,457.4224,514.5,436.77463706714855,468.60271533710704
2018-08-29 19:45:00,448.2436666666666,403.2576,462.30002,385.0015962585648,416.8296745285233
2018-08-29 20:00:00,391.2896666666667,347.5248,408.0,331.4342291962353,363.2623074661938
2018-08-29 20:15:00,337.98266666666666,290.9172,351.4,276.59013629418183,303.7932231472092
2018-08-29 20:30:00,240.8,234.34,293.9,211.9177172292517,241.15836788309082
2018-08-29 20:45:00,223.66366666666667,179.0284,236.1,156.60372868659556,185.84437934043467
2018-08-29 21:00:00,164.33433333333332,127.586,172.90001,111.78642053560563,121.52384061769791
2018-08-30 11:15:00,135.22899999999998,76.9248,104.1,77.75583572689226,71.38021393123796
2018-08-30 11:30:00,180.739,134.4572,160.6,130.5933104118347,123.31539445724485
2018-08-30 11:45:00,234.07266666666663,221.298,216.5,191.36415227929405,178.28636297265342
2018-08-30 12:00:00,294.88666666666666,279.578,258.0,247.05740119183622,221.43418265545927
2018-08-30 12:15:00,345.3383333333333,335.9856,314.0,302.5122754150171,276.88905687864013
2018-08-30 12:30:00,397.234,391.4156,369.7,357.0104649086866,331.3872463723096
2018-08-30 12:45:00,452.516,445.2536,424.0,409.97912647042625,384.3559079340493
2018-08-30 13:00:00,501.3976666666667,496.9952,476.7,460.94104081471727,435.3178222783403
2018-08-30 13:15:00,543.5213333333334,546.214,526.8,509.4870319636948,483.86381342731784
2018-08-30 13:30:00,585.244,592.5452,574.2,555.2598669890069,536.8998511198663
2018-08-30 13:45:00,627.4889999999999,635.6776,618.60004,597.9444827462956,585.7689875985906
2018-08-30 14:00:00,668.7096666666667,675.3432,659.5,637.261886450679,616.0346716374465
2018-08-30 14:15:00,703.3846666666667,711.3124,696.4,672.9652789418284,664.3733352009837
2018-08-30 14:30:00,734.288,743.3844,729.5,704.8375660578834,691.7597767512427
2018-08-30 14:45:00,762.8946666666667,771.386,758.4,732.6897574672713,719.6119681606307
2018-08-30 15:00:00,789.9356666666666,794.7864,764.5,756.3599417799396,730.7367232435627
2018-08-30 15:15:00,812.351,813.4584,784.5,775.7126387583841,750.0894202220071
2018-08-30 15:30:00,831.7813333333332,827.6808,800.10004,790.6383981680219,765.015179631645
2018-08-30 15:45:00,841.5356666666667,837.3744,811.10004,801.0535585103762,775.4303399739993
2018-08-30 16:00:00,848.8533333333334,842.4832,817.5,806.900107735058,781.276889198681
2018-08-30 16:15:00,847.4163333333333,842.976,818.9,808.1456079094334,782.5223893730564
2018-08-30 16:30:00,831.2303333333333,838.8448,815.9,804.7831602875501,779.1599417511732
2018-08-30 16:45:00,811.6946666666666,830.1064,808.2,796.831398526475,771.2081799900981
2018-08-30 17:00:00,821.034,816.8012,795.8,784.3345075257492,758.7112889893723
2018-08-30 17:15:00,791.3576666666667,798.9936,778.8,767.3622747730717,741.7390562366948
2018-08-30 17:30:00,764.518,776.7724,757.4,746.0101913638161,720.3869728274392
2018-08-30 17:45:00,751.4073333333333,750.2488,731.8,720.3996323921875,694.7764138558106
2018-08-30 18:00:00,719.6166666666667,718.7048,668.3,690.6781630243354,602.079179259687
2018-08-30 18:15:00,678.2803333333334,682.3816,634.8,657.0200400188634,568.4210562542149
2018-08-30 18:30:00,642.5103333333334,642.2988,597.9,619.6270132092583,531.0280294446098
2018-08-30 18:45:00,597.997,598.6932,558.2,580.3084653417413,495.2688535253351
2018-08-30 19:00:00,554.914,551.8464,515.4,536.1678521212799,474.72830744354553
2018-08-30 19:15:00,517.248,502.0924,469.7,479.89410195503666,427.6394880786939
2018-08-30 19:30:00,473.84833333333336,449.8288,422.0,430.1905841621145,377.9359702857717
2018-08-30 19:45:00,426.074,395.534,372.30002,380.0581354895955,340.80773876107986
2018-08-30 20:00:00,378.7713333333333,339.7944,321.30002,326.3223181992806,287.07192147076495
2018-08-30 20:15:00,326.72933333333333,283.354,269.6,271.30605527683144,232.05565854831582
2018-08-30 20:30:00,270.969,179.998,218.40001,167.44067359864118,192.2184712976158
2018-08-30 20:45:00,220.317,36.6936,168.7,98.64454739351572,145.3355454709083
2018-08-30 21:00:00,165.16466666666665,12.726,109.200005,42.15158149404786,82.51139518423341
2018-08-31 11:15:00,107.20866666666667,73.0064,76.9,86.34712019951449,42.09166708977328
2018-08-31 11:30:00,154.677,111.8148,117.8,103.16194760270011,51.72473370499503
2018-08-31 11:45:00,199.59866666666667,154.8612,163.7,133.03594795382327,103.92529121554202
2018-08-31 12:00:00,242.6493333333333,201.2648,240.0,187.98051781629272,206.37212700818725
2018-08-31 12:15:00,293.4456666666667,269.6964,293.9,244.51740203891762,261.97302185092934
2018-08-31 12:30:00,340.39233333333334,353.3556,347.6,355.83657853072464,301.77578751509964
2018-08-31 12:45:00,385.2726666666667,346.9256,400.0,347.5151023475366,354.83447643200924
2018-08-31 13:00:00,428.86066666666665,382.5112,451.0,396.1439506343312,405.86534803423353
2018-08-31 13:15:00,485.7883333333333,405.6196,485.80002,450.09596167701716,422.7059317697906
2018-08-31 13:30:00,370.7126666666667,405.0948,461.4,463.23397743058376,402.34571754288845
2018-08-31 13:45:00,398.7823333333333,429.4116,460.1,456.47157544856975,416.5477168059916
2018-08-31 14:00:00,359.4823333333333,439.4192,421.1,462.0998776730346,359.45584996307366
2018-08-31 14:15:00,544.5763333333333,409.3404,418.2,426.466033926961,342.283905020711
2018-08-31 14:30:00,569.9926666666667,392.3288,373.2,408.844323618138,282.537682993138
2018-08-31 14:45:00,414.1383333333333,373.8788,364.30002,372.98840366735226,258.6764224661804
2018-08-31 15:00:00,289.8283333333333,348.7052,373.30002,363.0188496239382,290.4640400536257
2018-08-31 15:15:00,125.13033333333333,352.1212,333.7,379.1751386464082,204.14031808976756
2018-08-31 15:30:00,98.03966666666666,361.9092,308.80002,394.03334176108785,158.55333077475973
2018-08-31 15:45:00,80.49733333333333,360.0524,304.2,386.8008451056568,168.89090247870365
2018-08-31 16:00:00,85.02233333333334,375.8152,281.0,396.8817081306911,170.76302526936297
2018-08-31 16:15:00,76.873,383.4432,282.0,411.2797908014454,171.9124507135548
2018-08-31 16:30:00,69.378,363.8716,278.5,390.2427640272423,168.44549229872666
2018-08-31 16:45:00,67.38066666666667,347.918,265.80002,387.45814867022443,119.1391484260838
2018-08-31 17:00:00,63.79266666666667,340.9036,259.6,374.8415419719329,132.77510520435476
2018-08-31 17:15:00,73.18366666666665,335.7896,261.5,356.78471417495814,134.55336041519251
2018-08-31 17:30:00,96.31733333333334,340.2644,262.30002,364.45218504433024,113.06864012245524
2018-08-31 17:45:00,122.36233333333332,314.8788,278.7,338.7033972858809,147.7650427936934
