,datetime,ghi,SZA,TOA,cams,lsasaf,era,merra
20035,2021-04-14 19:00:00,251.65,56.71996427740513,741.4578166938766,297.47880000000004,240.1000025,209.49333,328.125
20036,2021-04-14 20:00:00,85.28333333333333,71.51990995470082,428.30353759728615,121.9605,16.95,157.49333,151.75
20050,2021-04-15 10:00:00,104.55,77.02816533038674,303.14238314418543,79.6942,85.725,86.80889,88.625
20051,2021-04-15 11:00:00,230.8,62.25062134302181,628.7846834393877,235.2357,330.75,226.48889,235.875
20052,2021-04-15 12:00:00,365.05,47.45701580893371,913.1098613710521,349.14009999999996,511.025,401.49335,393.375
20053,2021-04-15 13:00:00,368.56666666666666,32.67580387296079,1136.7416259327083,310.969,510.25,580.9067,519.75
20054,2021-04-15 14:00:00,218.28333333333333,17.99063734506319,1284.4398419384443,426.2198,707.52502,433.24445,589.25
20055,2021-04-15 15:00:00,662.3833333333333,4.58895447164832,1346.1391200503112,515.2539,694.025,485.86667,665.5
20056,2021-04-15 16:00:00,560.4333333333333,12.660127804306258,1317.6347564278642,530.9352,519.675,616.92444,705.0
20057,2021-04-15 17:00:00,530.1666666666666,27.224060559318588,1200.8692763462843,592.7551000000001,638.875,510.7378,628.25
20058,2021-04-15 18:00:00,269.9833333333333,41.986902936715815,1003.8000543090518,462.6941,469.3,254.52444,542.0
20059,2021-04-15 19:00:00,206.9833333333333,56.78021019268258,739.8570321257166,267.542,225.7500025,286.54224,382.0
20060,2021-04-15 20:00:00,91.56666666666666,71.5663069222162,427.0274905716051,158.1626,124.05000125,113.422226,197.5
20074,2021-04-16 10:00:00,113.6,76.94056443984294,304.98463125148436,143.5257,154.90000125,103.46667,146.6875
20075,2021-04-16 11:00:00,253.33333333333331,62.17709273759218,629.9678771308417,286.1961,353.250005,316.94223,384.125
20076,2021-04-16 12:00:00,543.5333333333333,47.39896818194886,913.6097754032329,439.8171,643.6,508.44446,597.0
20077,2021-04-16 13:00:00,603.2166666666667,32.63880898927543,1136.5805994417947,383.1189,676.5999999999999,700.4978,773.75
20078,2021-04-16 14:00:00,643.4166666666666,17.99630831213462,1283.6852560650075,595.5398,855.25001,734.08,878.5
20079,2021-04-16 15:00:00,587.2833333333333,4.8433530405071465,1344.8988060259385,605.564,1019.525,489.44,811.25
20080,2021-04-16 16:00:00,706.1,12.824365344320482,1316.049647054925,661.8218,947.80001,555.8222,822.75
